model_name,r2,mae,rmse,mape,pearson_r
noisy_baseline_low_noise,0.9978825449943542,17.400949478149414,26.97962917878969,2.632724680006504,0.9991530179977417
noisy_baseline_medium_noise,0.9947634339332581,29.129961013793945,42.42786703768159,3.6313172429800034,0.9973918199539185
noisy_baseline_high_noise,0.9815753698348999,54.21475601196289,79.58440635184131,5.812513455748558,0.9909547567367554
noisy_simple_lstm_low_noise,0.9998576641082764,3.6630685329437256,6.994994962743618,0.6872502155601978,0.9999582767486572
noisy_simple_lstm_medium_noise,0.9997730851173401,4.073674201965332,8.832262322137561,0.4143534693866968,0.9999284744262695
noisy_simple_lstm_high_noise,0.9996558427810669,5.925924301147461,10.876910863908293,0.5324182566255331,0.9998316764831543
noisy_basic_resnet_low_noise,0.9751693606376648,80.00959777832031,92.38950854432824,13.16208690404892,0.991594135761261
noisy_basic_resnet_medium_noise,0.9271206259727478,110.4789810180664,158.2817466675327,12.005580961704254,0.9943279027938843
noisy_basic_resnet_high_noise,0.9210301637649536,109.87142181396484,164.7628267009886,13.15457671880722,0.9884700775146484
noisy_ultra_original_low_noise,0.9854947924613953,49.667423248291016,70.6139475588481,8.439107239246368,0.9986745119094849
noisy_ultra_original_medium_noise,0.9875323176383972,37.468116760253906,65.46688541497525,24.419687688350677,0.99593186378479
noisy_ultra_original_high_noise,0.9626082181930542,75.17007446289062,113.37483634221925,8.393257856369019,0.9949647188186646
